instante;testa_pequena_r;testa_pequena_g;testa_pequena_b;testa_pequena_px;testa_grande_r;testa_grande_g;testa_grande_b;testa_grande_px;bochechas_r;bochechas_g;bochechas_b;bochechas_px;conjunto_pequeno_r;conjunto_pequeno_g;conjunto_pequeno_b;conjunto_pequeno_px;conjunto_grande_r;conjunto_grande_g;conjunto_grande_b;conjunto_grande_px;fundo_r;fundo_g;fundo_b;caixa_x;caixa_y;caixa_l;caixa_a
10.89508;221.3877;189.1157;186.1157;2497;221.2614;191.5646;188.1406;4828;218.9705;193.3430;187.3735;5737;219.5909;191.2175;186.4304;6727;219.3840;191.6804;186.7805;12056;215.2332;218.7464;225.2865;202;40;243;243
10.93529;221.3877;189.1157;186.1157;2497;221.2614;191.5646;188.1406;4828;218.9705;193.3430;187.3735;5737;219.5909;191.2175;186.4304;6727;219.3840;191.6804;186.7805;12056;215.2332;218.7464;225.2865;202;40;243;243
10.95761;223.2384;192.1573;188.9111;2429;222.6339;194.4922;190.7389;4783;216.8213;189.8228;183.8142;5796;219.0077;190.3865;185.4467;6774;218.5995;190.7722;185.7397;12166;214.5637;218.7256;225.0506;202;40;244;244
10.99709;223.2384;192.1573;188.9111;2429;222.6339;194.4922;190.7389;4783;216.8213;189.8228;183.8142;5796;219.0077;190.3865;185.4467;6774;218.5995;190.7722;185.7397;12166;214.5637;218.7256;225.0506;202;40;244;244
11.01663;222.6384;192.0736;188.3728;2500;221.9426;193.7185;189.7157;4910;217.7785;191.2450;185.6172;5783;219.5673;191.3584;186.5254;6852;219.0321;191.3493;186.5289;12301;214.9288;218.5669;225.0767;202;40;244;244
11.05745;222.6384;192.0736;188.3728;2500;221.9426;193.7185;189.7157;4910;217.7785;191.2450;185.6172;5783;219.5673;191.3584;186.5254;6852;219.0321;191.3493;186.5289;12301;214.9288;218.5669;225.0767;202;40;244;244
11.07889;221.6923;190.1907;185.5895;2470;221.1822;192.4996;187.4038;4856;218.3393;192.0113;186.2781;5771;219.5367;191.1239;185.9245;6804;218.8761;191.1940;185.8660;12220;214.7295;219.0338;225.4669;202;40;244;244
11.13391;222.3613;194.0496;190.5730;2560;222.0280;196.0214;192.0633;4898;216.9406;189.9919;184.0680;5808;218.8178;191.2291;186.2817;6911;218.5359;191.4876;186.5382;12329;215.1141;218.9475;225.3414;202;40;244;244
11.15484;222.3613;194.0496;190.5730;2560;222.0280;196.0214;192.0633;4898;216.9232;190.1077;184.2716;5887;218.6647;191.0317;186.0920;6884;218.4063;191.3915;186.4636;12360;215.1141;218.9475;225.3414;202;40;245;245
11.19249;221.6209;189.9491;186.7044;2493;220.9805;191.8764;187.8328;4862;219.2158;193.0524;187.3069;5835;220.0552;191.7363;186.8551;6861;219.3723;191.7501;186.7768;12286;214.8790;218.4397;224.9304;202;40;245;245
11.21449;221.6209;189.9491;186.7044;2493;220.9805;191.8764;187.8328;4862;219.2158;193.0524;187.3069;5835;220.0552;191.7363;186.8551;6861;219.3723;191.7501;186.7768;12286;214.8790;218.4397;224.9304;202;40;245;245
11.25555;222.4593;192.2625;189.0244;2495;221.4580;194.1531;189.8749;4886;216.9842;189.9259;184.3507;5900;218.6948;190.2451;185.4615;6813;218.2073;190.6724;185.7651;12352;214.9242;219.5519;225.8572;202;40;245;245
11.27710;222.6951;192.4891;189.1226;2529;220.7960;193.1532;189.0580;4927;216.6685;189.5533;184.0351;5901;218.8786;190.5686;185.7419;6818;217.8655;190.2566;185.4328;12278;214.9242;219.5519;225.8572;202;40;246;246
